year,year,CG_max,CG_min,CG_mean,CG_median,CG_var,IP_outs_max,IP_outs_min,IP_outs_mean,IP_outs_median,IP_outs_var,batters_faced_max,batters_faced_min,batters_faced_mean,batters_faced_median,Opp_BA_max,Opp_BA_min,Opp_BA_mean,Opp_BA_median,BB_max,BB_min,BB_mean,BB_median,BB_var,SO_max,SO_min,SO_mean,SO_median,SO_var,ERA_max,ERA_min,ERA_mean,ERA_median
1870,1875.0,58.666666666666664,0.0,16.640279411905457,7.0,412.67807829897845,1637.7777777777778,7.111111111111111,486.57722247020115,232.27777777777777,318697.86838419456,2384.1111111111113,15.444444444444445,731.8679730226177,365.44444444444446,,,,,54.44444444444444,0.0,14.279690171217409,8.5,264.2085873011431,118.44444444444444,0.0,26.920992206516544,10.833333333333334,1661.4138853307757,25.049999999999997,0.8055555555555556,4.741473143738247,3.1994444444444445
1880,1884.5,67.1,0.0,15.710831225462659,6.6,359.75458613111084,1843.9,2.5,444.5073501996488,186.4,271280.17807741807,2517.8,4.5,634.958187862322,274.4,,,,,153.5,0.0,33.294891531373786,17.8,1410.5820066423398,338.8,0.0,57.518534670001635,19.15,6127.604848115157,31.088,0.0,4.417579986108015,3.464
1890,1894.5,49.5,0.0,12.533561564416676,6.25,189.7065764697569,1420.9,1.1,385.1851672080151,216.45,158077.24071489237,2037.9,3.9,572.3648934579749,340.45,,,,,213.8,0.2,48.37211707894406,29.85,2417.216428684995,227.6,0.0,38.04276847777397,17.8,2323.490754399073,54.69,0.045,5.550106893423691,4.487222222222222
1900,1904.5,40.6,0.0,11.630321873047425,7.65,129.06220572845822,1203.4,2.8,386.67260959535093,289.65,118117.22040315645,1592.6,4.7,529.0993764435066,404.35,,,,,130.1,0.0,36.50539388533572,28.55,1028.4168424035167,243.6,0.0,50.10128210854046,32.5,2713.7556127438656,40.439,0.0,3.861972030534459,3.2020000000000004
1910,1914.5,34.1,0.0,6.502959922713236,3.1,63.652842152360336,1099.1,0.8,307.2338508827344,201.9,88130.33524311177,1436.4,2.0,416.8929629935698,280.25,2.8800000000000003,0.0,0.9065367118655363,0.26333333333333336,142.9,0.0,33.46554792949053,23.9,998.4498984011232,232.8,0.0,42.106202478418616,23.8,2187.087419434805,48.857,0.0,3.9659688234626325,4.8145
1920,1924.5,30.4,0.0,5.6637908308348965,1.9,52.98268155293958,986.6,0.6,305.5188845449858,223.2,80406.46938140233,1384.6,2.1,444.8668844116278,332.0,0.906,0.0,0.30274654112273475,0.2866666666666667,120.9,0.0,34.42056602832046,27.4,916.8000007514298,189.3,0.0,32.09755170225788,19.4,1210.194432622926,44.55,0.0,5.233102689066647,3.7395000000000005
1930,1934.5,28.1,0.0,5.078537290015646,2.1,41.74924909734598,938.7,0.8,303.15252439180824,236.25,67898.87666572504,1336.3,3.0,443.7963827034438,356.9,0.852,0.030000000000000006,0.2915197201828139,0.269,145.6,0.0,36.74030736412745,30.1,969.0655437868576,207.7,0.0,37.609321520182945,25.8,1529.8470908963557,56.475,0.0,5.388681393356468,3.9615
1940,1944.5,29.1,0.0,4.335119823442846,1.4,36.76433105954478,962.1,1.1,272.17530937251956,211.4,59450.779846547266,1326.3,3.3,391.1003304890533,309.25,0.778,0.014000000000000002,0.2731410961240881,0.2615,151.4,0.0,36.00197863007561,30.15,967.3760416965886,214.1,0.0,35.94181933781523,23.95,1383.5010870098872,62.55,0.0,5.092952713567511,4.0115
1950,1954.5,25.5,0.0,3.2077386439090354,0.5,26.249422421158197,935.5,1.3,255.55631119768145,188.8,56035.33792426072,1276.5,2.9,367.0541093095178,280.25,0.775,0.008,0.2747667174773866,0.262,141.6,0.0,34.051786858014495,26.9,880.3590591607397,208.4,0.0,41.76431450556762,28.05,1840.2966160645403,69.39,0.0,5.277103007470839,4.306111111111111
1960,1964.5,23.8,0.0,2.4953775425785887,0.0,19.686590694102875,943.3,0.9,265.401908425516,197.45,58788.77342933837,1259.4,2.8,373.67590189263365,283.85,0.8099999999999999,0.0,0.2603679039162445,0.25,120.6,0.0,30.924566274713083,24.7,714.4607623240032,281.7,0.0,56.156184932260615,39.2,3163.6217689643354,42.660000000000004,0.0,4.377669999345344,3.8519999999999994
1970,1974.5,26.5,0.0,2.662522049877154,0.0,23.493353249785837,1027.0,1.2,281.08894143614884,214.7,62627.587833866455,1409.0,2.6,398.3963881086664,308.45,0.7858,0.0264,0.27014104946060685,0.25834999999999997,159.9,0.0,34.47504923148149,28.55,817.1239741612336,324.4,0.0,53.73432454467233,38.9,2843.110435787661,43.088,0.0,4.4587360057597,4.414
1980,1984.5,18.4,0.0,1.4934038202795292,0.0,9.147022913914489,821.2,1.3,254.34144442237067,204.6,46187.66451174148,1134.0,2.7,360.84343459742524,293.6,0.7443,0.0279,0.27053514465971445,0.26055,118.9,0.0,30.462806046321816,25.1,613.5089048141278,273.9,0.0,50.4625635216728,38.25,2214.2833760949316,37.8,0.0,4.5921483465667885,4.035
1990,1994.5,12.3,0.0,0.5864844734488208,0.0,2.3835519696574434,770.1,1.1,207.20222841981044,152.35,37041.57077490694,1042.7,2.2,298.2450910789148,221.7,0.7887000000000001,0.0,0.27794726150094107,0.26985000000000003,119.0,0.0,26.420785126261457,20.4,520.5726311364664,278.0,0.0,47.26255582494735,33.55,2205.5456112135644,76.05,0.0,5.294790565020404,4.406499999999999
2000,2004.5,8.1,0.0,0.2558836028328705,0.0,0.6819648027899659,750.8,0.5,190.0582319210911,133.7,34031.18711524404,1022.9,1.7,274.6439737802219,197.85,0.8737999999999999,0.0091,0.27650442030438893,0.26885000000000003,109.9,0.0,23.7615057662424,17.8,448.6101095796909,286.6,0.0,46.598833166932934,31.95,2260.2267252887586,96.3,0.0,5.476887064087166,5.247000000000001
2010,2014.5,5.7,0.0,0.13872084373527266,0.0,0.33226076365741575,703.8,0.3,167.0041873782492,111.15,28976.508848563106,936.6,1.3,236.93040075107228,160.4,0.8852,0.0,0.2655175830743526,0.2516,92.0,0.0,19.287019441167814,13.85,331.11296221224217,278.7,0.0,48.372648572051965,31.6,2599.9572746061185,96.75,0.0,5.088572862298761,4.704
2020,2020.0,2.0,0.0,0.03766233766233766,0.0,0.04669413811156334,252.0,1.0,60.26753246753247,48.0,3000.9764477395165,344.0,1.0,86.37142857142857,70.0,0.857,0.0,0.2618025974025974,0.25,34.0,0.0,7.911688311688311,7.0,41.13653420701535,122.0,0.0,20.241558441558443,15.0,384.56316011686624,81.0,0.0,6.497467532467533,4.49
